area_sqft,bhk,locality,location_type,age_of_property,furnishing,latitude,longitude,price,listing_type
1260,2,Koramangala,URBAN,10,Furnished,12.907027003759309,77.46545315705168,15586931,SALE
4172,5,Whitefield,URBAN,7,Semi-Furnished,12.841956350755346,77.53486784113373,85782,RENT
3492,3,HSR Layout,URBAN,6,Semi-Furnished,12.919521024478142,77.64209408806727,26934522,SALE
866,2,Indiranagar,RURAL,27,Unfurnished,12.948383393877064,77.76227334630833,4974018,SALE
4826,5,Indiranagar,URBAN,18,Semi-Furnished,12.988839323052977,77.5022805762261,41590887,SALE
3844,5,HSR Layout,URBAN,19,Semi-Furnished,12.9514634486067,77.70542956538662,26550835,SALE
3571,5,Koramangala,RURAL,11,Semi-Furnished,12.961015588221866,77.68417432329635,70683,RENT
3319,4,HSR Layout,URBAN,6,Furnished,12.807220111507283,77.46388350485687,32420436,SALE
530,1,Bellandur,URBAN,7,Unfurnished,12.876086050740197,77.59178557783373,14313,RENT
2085,2,Koramangala,URBAN,6,Furnished,12.893208997381752,77.59260203727105,78430,RENT
1169,2,Whitefield,URBAN,5,Semi-Furnished,13.096126561364434,77.52184472586266,29559,RENT
2791,5,HSR Layout,URBAN,24,Semi-Furnished,12.88867032154611,77.71196852661431,58908,RENT
2833,4,Koramangala,URBAN,8,Unfurnished,13.068973654647285,77.77037354094924,74862,RENT
1584,3,Whitefield,URBAN,26,Unfurnished,12.891420860162324,77.68662898344112,8482570,SALE
4955,5,HSR Layout,URBAN,12,Semi-Furnished,12.828833099312718,77.78918189320912,108051,RENT
3785,5,Indiranagar,RURAL,6,Semi-Furnished,12.874285219718283,77.42018738843265,23029806,SALE
4517,5,HSR Layout,URBAN,7,Furnished,12.88184851547429,77.41488907403577,41270161,SALE
3304,4,Electronic City,RURAL,21,Semi-Furnished,13.093474578166695,77.75754347099729,32134,RENT
874,3,HSR Layout,URBAN,16,Furnished,13.00228745167017,77.75912014787863,29785,RENT
1482,2,Electronic City,URBAN,16,Unfurnished,13.07950429868629,77.44284831403516,7145185,SALE
2958,3,Whitefield,RURAL,15,Furnished,13.050498506661446,77.54297841962757,41645,RENT
2447,3,HSR Layout,URBAN,21,Semi-Furnished,12.97357954720343,77.73415783124514,51732,RENT
3147,4,Whitefield,URBAN,1,Furnished,13.00261637727367,77.45141627100067,71696,RENT
1375,2,Whitefield,URBAN,29,Furnished,12.98745115810881,77.50697122904369,8729364,SALE
2206,3,Koramangala,URBAN,7,Unfurnished,12.999878907857536,77.67239841474318,23322532,SALE
589,1,Whitefield,URBAN,16,Furnished,12.879432099388183,77.79275962179119,15874,RENT
3134,4,Whitefield,RURAL,12,Semi-Furnished,12.922437540262381,77.71885553602816,37544,RENT
3405,4,HSR Layout,URBAN,17,Furnished,12.977784743479443,77.71092704912576,80800,RENT
2299,3,HSR Layout,URBAN,23,Furnished,12.810778539516757,77.53706506547645,16595756,SALE
1667,3,Indiranagar,URBAN,27,Furnished,12.944850470420509,77.66453722866859,41782,RENT
1928,3,Koramangala,URBAN,21,Semi-Furnished,13.057918080019356,77.44523531557233,54927,RENT
